Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,Description,No of Seasons,Streaming Platform
Hard to Kill,2018,N/A,7.6,43,"Reality,Action & Adventure","A day in the life of the world's most dangerous occupations.Hard to Kill featuring Tim Kennedy has one or more episodes available for purchase on Google Play, available for purchase on VUDU, and available for purchase on YouTube. It's an action & adventure and reality show with 6 episodes over 1 season. Hard to Kill is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.6 (101 votes).",1Season,
Live from Lincoln Center,1976,N/A,8.2,43,"Musical,1976","Since premiering in 1976, the landmark series has sought to democratize the world of the performing arts by making Lincoln Center's historic concerts and events available for public broadcast across the country. And it continues to push the boundaries, both technical and creative, of what is possible in the realm of stage performance capture.Live from Lincoln Center featuring André Previn and Fran Drescher has one or more episodes free on PBS, and available for rent or purchase on iTunes. It's a musical show with 82 episodes over 21 seasons. Live from Lincoln Center is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.2 (161 votes).",21Seasons,Free Services
WWE Table For 3,2015,7+,7.8,43,"Sport,Documentary",Three WWE personalities share stories over dinner.WWE Table For 3 has one or more episodes streaming with subscription on WWE Network. It's a documentary and sport show with 73 episodes over 9 seasons. WWE Table For 3 is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.8 (130 votes).,9Seasons,
Too Young to Die,2012,N/A,7.2,43,"Documentary,2012",Those who knew them best describe the sensational lives and premature deaths of iconic actors and musicians whose passing left a void in pop culture.Too Young to Die has one or more episodes free on PlutoTV. It's a documentary show with 20 episodes over 4 seasons. Too Young to Die is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.2 (198 votes).,4Seasons,Free Services
The 1980s: The Deadliest Decade,2016,16+,8.0,43,"Documentary,Crime","In a gripping six-part mini-series, Investigation Discovery transports viewers on a bittersweet and terrifying journey back in time, revealing the dark side of America's favorite decade.The 1980s: The Deadliest Decade has one or more episodes streaming via tv everywhere with Investigation Discovery, streaming with subscription on True Crime Files (Via Prime Video), available for purchase on iTunes, and 4 others. It's a crime and documentary show with 20 episodes over 2 seasons. The 1980s: The Deadliest Decade is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.0 (130 votes).",2Seasons,
Do You Want to See a Dead Body?,2017,N/A,6.9,43,"Comedy,2017","Follow comedian Rob Huebel as he takes a different celebrity friend on a hilarious adventure to find a dead body...and then maybe get tacos or something.Do You Want to See a Dead Body? featuring Rob Huebel has one or more episodes streaming with subscription on YouTube Premium, and free on YouTube Premium. It's a comedy show with 15 episodes over 1 season. Do You Want to See a Dead Body? is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.9 (145 votes).",1Season,"Free Services,YouTube Premium"
Martin Chuzzlewit,1994,N/A,8.1,43,"Drama,1994","Martin Chuzzlewit is a 1994 TV mini series produced by the BBC. It is based on the novel by Charles Dickens, with a screenplay by David Lodge and directed by Pedr James. The music was composed by Geoffrey Burgon. It starred Paul Scofield as Old Martin Chuzzlewitt and Anthony Chuzzlewitt & Ben Walden as Young Martin Chuzzlewit. John Mills as Old Chuffey, Tom Wilkinson as Seth Pecksniff, Pete Postlethwaite as Montague Tigg, Philip Franks as Tom Pinch, Joan Sims as Betsy Prigg, Nicholas Smith as Mr. Spottletoe, Sam Kelly as Mr. Mould, Elizabeth Spriggs as Sairy Gamp and Julia Sawalha as Mercy Pecksniff.Martin Chuzzlewit featuring Paul Scofield and Julia Sawalha has one or more episodes available for purchase on Prime Video, and available for purchase on VUDU. It's a drama show with 6 episodes over 1 season. Martin Chuzzlewit is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (752 votes).",1 Season,
The Eleven,2017,16+,6.7,43,"Documentary,Crime","Follow investigators as they reexamine the murders of eleven teenage girls in and around Galveston County, Texas after discovering a confession letter from current inmate and convicted murderer Edward Harold Bell.The Eleven has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 1 other. It's a crime and documentary show with 6 episodes over 1 season. The Eleven is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 6.7 (216 votes).",1Season,Prime Video
Batman and Robin - The 1949 Serial,1949,N/A,6.1,43,"Action & Adventure,Crime","Join superheroes Batman (Robert Lowery) and Robin (John Duncan) as they help Commissioner Gordon (Lyle Talbot) battle The Wizard, a villainous madman who steals a top-secret remote device allowing him to control all the moving vehicles in Gotham. Between The Wizard trying to destroy them and Bruce Wayne's love interest Vicky Vale (Jane Adams) working to uncover their identities, The Dynamic Duo careen from one cliffhanger to the next as they set out to save Gotham and foil The Wizard's plan for world domination.Batman and Robin - The 1949 Serial has one or more episodes available for purchase on iTunes, and available for purchase on Prime Video. It's an action & adventure and crime show with 15 episodes over 1 season. Batman and Robin - The 1949 Serial is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.1 (1,597 votes).",1Season,
Pandora's Box,2012,16+,8.5,43,"Documentary,2012","Pandora's Box, subtitled ""A fable from the age of science"", is a six-part 1992 BBC documentary television series written and produced by Adam Curtis, which examines the consequences of political and technocratic rationalism.The episodes deal, in order, with communism in The Soviet Union, systems analysis and game theory during the Cold War, economy in the United Kingdom during the 1970s, the insecticide DDT, Kwame Nkrumah's leadership in Ghana during the 1950s and 1960s and the history of nuclear power.Pandora's Box has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a documentary show with 6 episodes over 1 season. Pandora's Box is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.5.",1Season,Prime Video
